category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,151.1125,,RM,,WheelFortune,"Wheel of Fortune Trig, Wagga Wagga",FM,Media
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,165.125,,RM,,SWC Sec,"Wheel of Fortune Trig, Wagga Wagga",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,166.270,,RM,,WOF Trig.,"Wheel of Fortune Trig, Wagga Wagga",FM,Security
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,472.650,,RM,,EACOM Unit 2,"Eacom Site Moorong Trig, Wagga Wagga",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,472.875,,RM,,SWComSecurty,"Williams Hill, Wagga Wagga",FM,Security
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,473.500,,RM,,WOFTrigWagga,"Wheel of Fortune Trig, Wagga Wagga",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,473.550,,RM,,Eacom Site,"Eacom Site Moorong Trig, Wagga Wagga",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,473.750,,RM,,Eacon Unit 2,"Eacom Site Moorong Trig, Wagga Wagga",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,474.025,,RM,,Security,"Williams Hill, Wagga Wagga",FM,Security
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,474.300,,RM,,Tumorr Sec,"Tumorrama Mtn, Tumorrama",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,474.475,,RM,,Wagga Wagga,"Williams Hill, Wagga Wagga",FM,Security
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,474.625,,RM,,EacomSWScrty,"Eacom Site, Galore Hill",FM,Business
Murrumbidgee Communication Companies,South West Communication and Security Pty Ltd,474.700,,RM,,Wheel o Fort,"Wheel of Fortune Trig, Wagga Wagga",FM,Security
Murrumbidgee (MG) County,Public Safety,419.9875,,BM,,Fire Brigade,Fire Brigade,FM,Fire-Tac
Murrumbidgee (MG) County,Public Safety,419.1875,,RM,,Wagga 2 Ops,Fire Brigade - Wagga Wagga (statewide coverage),FM,Interop
Murrumbidgee (MG) County,Public Safety,468.700,,BM,,N.S.W. Ambul,N.S.W. Ambulance (Riverina),FM,EMS Dispatch
Murrumbidgee (MG) County,Public Safety,462.6875,,BM,,Wagga Ambul,Ambulance Service Region Dispatch - Wagga Wagga,FM,EMS Dispatch
Murrumbidgee (MG) County,Public Safety,132.750,,BM,CSQ,Air Amb Service,Ambulance Service Air Ambulance - Wagga Wagga,AM,Aircraft
Murrumbidgee (MG) County,Public Safety,469.200,,BM,,Police,Police,FM,Law Tac
