alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
Bourke 3.4624,Aircraft,Airservices Australia,AM,Bourke 3.4624,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,3.4624
Bourke 3.4684,Aircraft,Airservices Australia,AM,Bourke 3.4684,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,3.4684
Bourke 5.6444,Aircraft,Airservices Australia,AM,Bourke 5.6444,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,5.6444
Bourke 6.5664,Aircraft,Airservices Australia,AM,Bourke 6.5664,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,6.5664
Bourke 8.8234,Aircraft,Airservices Australia,AM,Bourke 8.8234,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,8.8234
Bourke 8.8684,Aircraft,Airservices Australia,AM,Bourke 8.8684,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,8.8684
Bourke 13.2624,Aircraft,Airservices Australia,AM,Bourke 13.2624,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,13.2624
Bourke 17.9054,Aircraft,Airservices Australia,AM,Bourke 17.9054,BM,,Aircraft / Airport,Bourke Receivers,,HF Station,17.9054
1 MICHLAGO,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.7875
2 ROBERTS,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.225
3 WAMBROOK,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.025
4 COOMA,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.350
5 JINDABYNE,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.200
6 PERISHER,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.6625
7 CRAKNBAK,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.875
8 SELWYN,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.7875
9 NIMTABEL,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.750
10 BOMBALA,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.6875
11 DELEGATE,EMS Dispatch,Ambulance Service of NSW,FM,,RM,162.2 PL,Public Safety,Snowy Mtn Region,VL2KJ,Ambulance Service of NSW (ASNSW),462.8875
CustomsSydny,Security,Australian Customs Service,P25,Tx Sydney CBD 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.325
Customs,Security,Australian Customs Service,P25,Tx Horsley Park 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.325
Customs Serv,Security,Australian Customs Service,P25,Tx Bigola Plateau 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.325
LucsHghtCust,Federal,Australian Customs Service,P25,Tx Lucas Heights 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.325
CustomsMasco,Security,Australian Customs Service,P25,"Tx Sydney Airport, Mascot 0w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.600
Customs,Security,Australian Customs Service,P25,Tx Mt Kiera 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.600
Customs,Security,Australian Customs Service,P25,"Tx Cooks Hill, Newcastle 50w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.600
Customs Svc,Security,Australian Customs Service,P25,"Tx Bimmil Hill, Eden 50w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.600
Customs,Security,Australian Customs Service,P25,"Tx Mt Wondurrigah, Coffs Harbour 50w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.600
ACS CBD,Security,Australian Customs Service,P25,Tx Sydney CBD 0w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.625
ACS,Law Talk,Australian Customs Service,P25,Tx Green Cape 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.625
AUst.Customs,Security,Australian Customs Service,P25,Tx Lucas Heights 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.650
Tx Mt. Kiera,Security,Australian Customs Service,P25,Tx Mt Kiera 0w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.650
Horsley Park,Security,Australian Customs Service,P25,Tx Horsley Park 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.650
Tx Bigola 50,Security,Australian Customs Service,P25,Tx Bigola Plateau 50w,RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.650
CstmsSloafNc,Security,Australian Customs Service,P25,"Tx Mt Sugarloaf, Newcastle 0w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.650
Ex Sydney AP,Security,Australian Customs Service,P25,"Tx Sydney Airport, Mascot 0w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.650
Customs,Security,Australian Customs Service,P25,"Tx Sydney Airport, Mascot 0w",RM,,Federal,Austalian Customs Service (NSW),VL2CUS,Australian Customs Service,489.825
GPT,Law Tac,Australian Federal Police,P25,"Governor Phillip Tower, Sydney",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),485.525
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),486.000
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (International Terminal Building) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),486.150
AAP,Law Tac,Australian Federal Police,P25,AAP Building Sydney,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),486.150
Lucas Height,Law Tac,Australian Federal Police,P25,Lucas Heights,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),487.200
GPT,Law Tac,Australian Federal Police,P25,"Governor Phillip Tower, Sydney",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),487.800
GPT,Law Tac,Australian Federal Police,P25,"Governor Phillip Tower, Sydney",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.325
Charle ULM,Law Tac,Australian Federal Police,P25,"Charles Ulm Building, Mascot",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.325
GPT,Law Tac,Australian Federal Police,P25,"Governor Phillip Tower, Sydney",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.375
RAAF GLEN,Law Tac,Australian Federal Police,P25,"RAAF Base, Glenbrook",RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.3875
Bondi,Law Tac,Australian Federal Police,P25,Bondi Junction,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.400
Lucas Height,Law Tac,Australian Federal Police,P25,Lucas Heights,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.4125
Bilgola,Law Tac,Australian Federal Police,P25,Bilgola Plateau,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.4375
AAP,Law Tac,Australian Federal Police,P25,AAP Building Sydney,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),488.450
Bilgola,Law Tac,Australian Federal Police,P25,Bilgola Plateau,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.375
Mascot,Law Tac,Australian Federal Police,P25,Sydney Airport (Domestic Terminal URS) Mascot,RM,,Federal,Sydney,VL2AFP,Australian Federal Police (AFP),489.525
