category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Airband,General,119.100,,BM,CSQ,CIVIL-AEROCL,CIVIL-AEROCLUBS,AM,Aircraft
Airband,General,120.100,,BM,CSQ,CAMDEN TOWER,CAMDEN TOWER,AM,Aircraft
Airband,General,122.700,,BM,CSQ,CIVIL-PARACH,CIVIL-PARACHUTE,AM,Aircraft
Airband,General,122.700,,BM,CSQ,CAMDEN GLIDE,CAMDEN GLIDERS,AM,Aircraft
Airband,General,122.900,,BM,CSQ,CIVIL-GLIDER,CIVIL-GLIDERS,AM,Aircraft
Airband,General,123.450,,BM,CSQ,CIVIL-AIR CH,CIVIL-AIR CHAT,AM,Aircraft
Airband,General,124.150,,BM,CSQ,CAREFLIGHT B,CAREFLIGHT BASE,AM,Aircraft
Airband,General,126.350,,BM,CSQ,CIVIL AIR-AI,CIVIL AIR-AIR,AM,Aircraft
Airband,General,126.400,,BM,CSQ,JETSTAR TX S,JETSTAR TX SYD,AM,Aircraft
Airband,General,126.400,,BM,CSQ,CHC HELICOPT,CHC HELICOPTER,AM,Aircraft
Airband,General,128.900,,BM,CSQ,ROYAL FLYING,ROYAL FLYING DS,AM,Aircraft
Airband,General,128.950,,BM,CSQ,CIVIL AIR-AI,CIVIL AIR-AIR,AM,Aircraft
Airband,General,130.750,,BM,CSQ,VIRGIN TX SY,VIRGIN TX SYD,AM,Aircraft
Airband,General,130.925,,BM,CSQ,JETSTAR TX S,JETSTAR TX SYD,AM,Aircraft
Airband,General,131.200,,BM,CSQ,VIRGIN TX SY,VIRGIN TX SYD,AM,Aircraft
Airband,General,131.600,,BM,CSQ,POLICE AIRWI,POLICE AIRWING,AM,Aircraft
Airband,General,132.550,,BM,CSQ,PARKAIR 1,PARKAIR 1,AM,Aircraft
Airband,General,132.750,,BM,CSQ,AIR AMBULANC,AIR AMBULANCE,AM,Aircraft
Airband,General,134.375,,BM,CSQ,RFS C130 THO,RFS C130 THOR,AM,Aircraft
Airband,General,134.875,,BM,CSQ,CHATTER-EAST,CHATTER-EAST,AM,Aircraft
Airband,General,135.475,,BM,CSQ,CHATTER-ECNF,CHATTER-ECNF,AM,Aircraft
Airband,General,135.550,,BM,CSQ,REX TX MASCO,REX TX MASCOT,AM,Aircraft
Airband,General,136.025,,BM,,RFS DC10 TAN,RFS DC10 TANKER,AM,Aircraft
Airband,General,136.900,,BM,,VIRGIN TX SY,VIRGIN TX SYD,AM,Aircraft
Airband,General,484.950,,BM,,WESTPAC RESC,WESTPAC RESCUE,FMN,Aircraft
