category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Communication Rental Companies,Vertel,464.275,VH2MEK,RM,146.2 PL,SECURITY,Unid Security - Hills District - Tx Dural,FM,Security
Communication Rental Companies,Vertel,505.3625,AXE787,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,506.250,VH2SBK,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,506.6375,VH2SBH,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,506.950,AXE788,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,507.5125,AXE789,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,508.075,VKE878,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,508.5375,AXE790,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Communication Rental Companies,Vertel,509.050,VH2RXY,RM,,Tx Kurrajong,Tx Kurrajong Heights 50w,FM,Business
Schools,"Masada College, St Ives",495.125,VNE667,BM,127.3 PL,Admin,Admin and Security Tx 5W,FMN,Security
