alpha tag,tag,entity,mode,description,input,type,tone,entity_type,group,license,category,tone in,frequency
VK4RGT,Ham,Amateur Radio,FM,Maurice Hill - Gladstone city,146.025,RM,,Amateur Radio,2 Metre,VK4RGT,VK4,,146.625
VK4ROM,Ham,Amateur Radio,FM,Grafton Range - Roma,146.050,RM,,Amateur Radio,2 Metre,VK4ROM,VK4,,146.650
VK4RHB,Ham,Amateur Radio,FM,Ghost Hill - Hervey Bay,146.050,RM,,Amateur Radio,2 Metre,VK4RHB,VK4,,146.650
VK4RBY,Ham,Amateur Radio,FM,Black Mountain -  Mackay,146.050,RM,,Amateur Radio,2 Metre,VK4RBY,VK4,,146.650
VK4RET,Ham,Amateur Radio,FM,Mt Kiangrow  - South Burnet & Darling Downs,146.075,RM,,Amateur Radio,2 Metre,VK4RET,VK4,,146.675
VK4RSA,Ham,Amateur Radio,FM,Sarina - Mackay,146.075,RM,,Amateur Radio,2 Metre,VK4RSA,VK4,,146.675
VK4RTA,Ham,Amateur Radio,FM,Longlands Gap - Atherton Tableland,146.075,RM,,Amateur Radio,2 Metre,VK4RTA,VK4,,146.675
VK4RAR,Ham,Amateur Radio,FM,Mt Archer - Rockhampton,146.100,RM,,Amateur Radio,2 Metre,VK4RAR,VK4,,146.700
VK4RAT,Ham,Amateur Radio,FM,Mt Stuart - Townsville,146.100,RM,,Amateur Radio,2 Metre,VK4RAT,VK4,,146.700
VK4RMI,Ham,Amateur Radio,FM,Four Mile Hill - Mount Isa,146.100,RM,,Amateur Radio,2 Metre,VK4RMI,VK4,,146.700
VK4RCM,Ham,Amateur Radio,FM,Mt Boulder - Gympie & Wide Bay,146.125,RM,,Amateur Radio,2 Metre,VK4RCM,VK4,,146.725
VK4RSB,Ham,Amateur Radio,FM,Mt Roundback - Bowen,146.125,RM,,Amateur Radio,2 Metre,VK4RSB,VK4,,146.725
VK4RDD,Ham,Amateur Radio,FM,O'Rourke's House - Toowoomba,146.150,RM,,Amateur Radio,2 Metre,VK4RDD,VK4,,146.750
VK4RGY,Ham,Amateur Radio,FM,Mt Wolvi - Gympie,146.175,RM,,Amateur Radio,2 Metre,VK4RGY,VK4,,146.775
VK4RBM,Ham,Amateur Radio,FM,Blue Mountain - Mackay,146.175,RM,,Amateur Radio,2 Metre,VK4RBM,VK4,,146.775
VK4RBU,Ham,Amateur Radio,FM,Mt Goonaneman - Bundaberg,146.200,RM,,Amateur Radio,2 Metre,VK4RBU,VK4,,146.800
VK4RMP,Ham,Amateur Radio,FM,Midge Point - Proserpine,146.200,RM,,Amateur Radio,2 Metre,VK4RMP,VK4,,146.800
VK4RCR,Ham,Amateur Radio,FM,Braeside - Stanthorpe,146.225,RM,,Amateur Radio,2 Metre,VK4RCR,VK4,,146.825
VK4RSP,Ham,Amateur Radio,FM,Roddas Lookout - Springsure,146.225,RM,,Amateur Radio,2 Metre,VK4RSP,VK4,,146.825
VK4RHT,Ham,Amateur Radio,FM,Hann Tableland - Atherton Tablelands,146.250,RM,,Amateur Radio,2 Metre,VK4RHT,VK4,,146.850
VK4RHR,Ham,Amateur Radio,FM,Hodgson Range West - Central Highlands,146.325,RM,,Amateur Radio,2 Metre,VK4RHR,VK4,,146.925
VK4RBD,Ham,Amateur Radio,FM,Blackdown Tableland - Blackwater,146.350,RM,,Amateur Radio,2 Metre,VK4RBD,VK4,,146.950
VK4RRR,Ham,Amateur Radio,FM,Mt.Seaview North - Central Highlands,146.375,RM,,Amateur Radio,2 Metre,VK4RRR,VK4,,146.975
VK4RMK,Ham,Amateur Radio,FM,Mt.Blackwood - Mackay,146.400,RM,,Amateur Radio,2 Metre,VK4RMK,VK4,,147.000
VK4RCQ,Ham,Amateur Radio,FM,Banana Range,146.400,RM,,Amateur Radio,2 Metre,VK4RCQ,VK4,,147.000
