alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
VHF 01,Fire-Tac,Country Fire Service,FM,VHF 01,,103.5 PL,Public Safety,VHF Fireground,,SA CFS,161.100
VHF 02,Fire-Tac,Country Fire Service,FM,VHF 02,,103.5 PL,Public Safety,VHF Fireground,,SA CFS,161.1875
VHF 03,Fire-Tac,Country Fire Service,FM,VHF 03,,103.5 PL,Public Safety,VHF Fireground,,SA CFS,161.0875
VHF 06,Fire-Tac,Country Fire Service,FM,VHF 06,,107.2 PL,Public Safety,VHF Fireground,,SA CFS,161.1125
VHF 07,Fire-Tac,Country Fire Service,FM,VHF 07,,107.2 PL,Public Safety,VHF Fireground,,SA CFS,160.9875
VHF 08,Fire-Tac,Country Fire Service,FM,VHF 08,,107.2 PL,Public Safety,VHF Fireground,,SA CFS,161.0875
VHF 102,Fire-Tac,Country Fire Service,FM,VHF 102,,218.1 PL,Public Safety,VHF Fireground,,SA CFS,161.125
VHF 103,Fire-Tac,Country Fire Service,FM,VHF 103,,218.1 PL,Public Safety,VHF Fireground,,SA CFS,161.0125
VHF 104,Fire-Tac,Country Fire Service,FM,VHF 104,,218.1 PL,Public Safety,VHF Fireground,,SA CFS,161.0875
VHF 107,Fire-Tac,Country Fire Service,FM,VHF 107,,CSQ,Public Safety,VHF Fireground,,SA CFS,161.2125
VHF 108,Fire-Tac,Country Fire Service,FM,VHF 108,,CSQ,Public Safety,VHF Fireground,,SA CFS,161.175
VHF 109,Fire-Tac,Country Fire Service,FM,VHF 109,,CSQ,Public Safety,VHF Fireground,,SA CFS,161.200
VHF 11,Fire-Tac,Country Fire Service,FM,VHF 11,,110.9 PL,Public Safety,VHF Fireground,,SA CFS,161.050
VHF 12,Fire-Tac,Country Fire Service,FM,VHF 12,,110.9 PL,Public Safety,VHF Fireground,,SA CFS,161.0125
VHF 13,Fire-Tac,Country Fire Service,FM,VHF 13,,110.9 PL,Public Safety,VHF Fireground,,SA CFS,161.0375
VHF 16,Fire-Tac,Country Fire Service,FM,VHF 16,,114.8 PL,Public Safety,VHF Fireground,,SA CFS,161.1875
VHF 17,Fire-Tac,Country Fire Service,FM,VHF 17,,114.8 PL,Public Safety,VHF Fireground,,SA CFS,161.0875
VHF 18,Fire-Tac,Country Fire Service,FM,VHF 18,,114.8 PL,Public Safety,VHF Fireground,,SA CFS,161.000
VHF 22,Fire-Tac,Country Fire Service,FM,VHF 22,,118.8 PL,Public Safety,VHF Fireground,,SA CFS,160.9875
VHF 23,Fire-Tac,Country Fire Service,FM,VHF 23,,118.8 PL,Public Safety,VHF Fireground,,SA CFS,161.125
VHF 24,Fire-Tac,Country Fire Service,FM,VHF 24,,118.8 PL,Public Safety,VHF Fireground,,SA CFS,161.0125
VHF 29,Fire-Tac,Country Fire Service,FM,VHF 29,,127.3 PL,Public Safety,VHF Fireground,,SA CFS,161.1875
VHF 30,Fire-Tac,Country Fire Service,FM,VHF 30,,127.3 PL,Public Safety,VHF Fireground,,SA CFS,161.075
VHF 31,Fire-Tac,Country Fire Service,FM,VHF 31,,127.3 PL,Public Safety,VHF Fireground,,SA CFS,161.000
VHF 32,Fire-Tac,Country Fire Service,FM,VHF 32,,127.3 PL,Public Safety,VHF Fireground,,SA CFS,161.1375
VHF 34,Fire-Tac,Country Fire Service,FM,VHF 34,,131.8 PL,Public Safety,VHF Fireground,,SA CFS,161.1625
VHF 35,Fire-Tac,Country Fire Service,FM,VHF 35,,131.8 PL,Public Safety,VHF Fireground,,SA CFS,161.0625
VHF 36,Fire-Tac,Country Fire Service,FM,VHF 36,,131.8 PL,Public Safety,VHF Fireground,,SA CFS,161.025
VHF 39,Fire-Tac,Country Fire Service,FM,VHF 39,,136.5 PL,Public Safety,VHF Fireground,,SA CFS,161.000
VHF 40,Fire-Tac,Country Fire Service,FM,VHF 40,,136.5 PL,Public Safety,VHF Fireground,,SA CFS,160.9875
VHF 41,Fire-Tac,Country Fire Service,FM,VHF 41,,136.5 PL,Public Safety,VHF Fireground,,SA CFS,161.0375
VHF 44,Fire-Tac,Country Fire Service,FM,VHF 44,,141.3 PL,Public Safety,VHF Fireground,,SA CFS,161.075
VHF 45,Fire-Tac,Country Fire Service,FM,VHF 45,,141.3 PL,Public Safety,VHF Fireground,,SA CFS,161.025
