alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
Sullocks Hill Ul,EMS Dispatch,Ambulance Tasmania,FMN,Sullocks Hill Ulve,RM,,Public Safety,North West Tasmania,,VHF Mid Band,78.250
Kelcy Tier Devon,EMS Dispatch,Ambulance Tasmania,FMN,Kelcy Tier Devonport,RM,,Public Safety,North West Tasmania,,VHF Mid Band,78.375
Montumana Rocky,EMS Dispatch,Ambulance Tasmania,FMN,Montumana Rocky Ca,RM,,Public Safety,North West Tasmania,,VHF Mid Band,78.5125
Companion Hill H,EMS Dispatch,Ambulance Tasmania,FMN,Companion Hill Ham,RM,,Public Safety,North West Tasmania,,VHF Mid Band,78.9125
Round Hill Burni,EMS Dispatch,Ambulance Tasmania,FMN,Round Hill Burnie,RM,,Public Safety,North West Tasmania,,VHF Mid Band,79.3125
Mt Claude Kentis,EMS Dispatch,Ambulance Tasmania,FMN,Mt Claude Kentish A,RM,,Public Safety,North West Tasmania,,VHF Mid Band,79.350
T01,Public Works,Forestry Tasmania,FMN,T01,,,Public Safety,VHF Mid Band,,Band Plan,79.100
T02,Public Works,Forestry Tasmania,FMN,T02,,,Public Safety,VHF Mid Band,,Band Plan,78.475
T03,Public Works,Forestry Tasmania,FMN,T03,,,Public Safety,VHF Mid Band,,Band Plan,79.325
T04,Public Works,Forestry Tasmania,FMN,T04,,,Public Safety,VHF Mid Band,,Band Plan,79.400
T05,Public Works,Forestry Tasmania,FMN,T05,,,Public Safety,VHF Mid Band,,Band Plan,79.150
T06,Public Works,Forestry Tasmania,FMN,T06,,,Public Safety,VHF Mid Band,,Band Plan,79.7625
T07,Public Works,Forestry Tasmania,FMN,T07,,,Public Safety,VHF Mid Band,,Band Plan,79.550
T08,Public Works,Forestry Tasmania,FMN,T08,,,Public Safety,VHF Mid Band,,Band Plan,79.5375
T09,Public Works,Forestry Tasmania,FMN,T09,,,Public Safety,VHF Mid Band,,Band Plan,79.450
T10,Public Works,Forestry Tasmania,FMN,T10,,,Public Safety,VHF Mid Band,,Band Plan,79.400
T11,Public Works,Forestry Tasmania,FMN,T11,,,Public Safety,VHF Mid Band,,Band Plan,79.5125
T12,Public Works,Forestry Tasmania,FMN,T12,,,Public Safety,VHF Mid Band,,Band Plan,79.4625
T13,Public Works,Forestry Tasmania,FMN,T13,,,Public Safety,VHF Mid Band,,Band Plan,79.500
T14,Public Works,Forestry Tasmania,FMN,T14,,,Public Safety,VHF Mid Band,,Band Plan,79.475
T15,Public Works,Forestry Tasmania,FMN,T15,,,Public Safety,VHF Mid Band,,Band Plan,79.1375
T16,Public Works,Forestry Tasmania,FMN,T16,,,Public Safety,VHF Mid Band,,Band Plan,79.4875
T17,Public Works,Forestry Tasmania,FMN,T17,,,Public Safety,VHF Mid Band,,Band Plan,78.475
T18,Public Works,Forestry Tasmania,FMN,T18,,,Public Safety,VHF Mid Band,,Band Plan,79.050
T19,Public Works,Forestry Tasmania,FMN,T19,,,Public Safety,VHF Mid Band,,Band Plan,79.050
T20,Public Works,Forestry Tasmania,FMN,T20,,,Public Safety,VHF Mid Band,,Band Plan,79.475
T21,Public Works,Forestry Tasmania,FMN,T21,,,Public Safety,VHF Mid Band,,Band Plan,78.425
T21,Public Works,Forestry Tasmania,FMN,T21,,,Public Safety,VHF Mid Band,,Band Plan,79.400
T22,Public Works,Forestry Tasmania,FMN,T22,,,Public Safety,VHF Mid Band,,Band Plan,79.250
T26,Public Works,Forestry Tasmania,FMN,T26,,,Public Safety,VHF Mid Band,,Band Plan,79.500
T27,Public Works,Forestry Tasmania,FMN,T27,,,Public Safety,VHF Mid Band,,Band Plan,79.4625
T28,Public Works,Forestry Tasmania,FMN,T28,,,Public Safety,VHF Mid Band,,Band Plan,78.975
T29,Public Works,Forestry Tasmania,FMN,T29,,,Public Safety,VHF Mid Band,,Band Plan,78.425
T30,Public Works,Forestry Tasmania,FMN,T30,,,Public Safety,VHF Mid Band,,Band Plan,78.400
T31,Public Works,Forestry Tasmania,FMN,T31,,,Public Safety,VHF Mid Band,,Band Plan,79.375
T32,Public Works,Forestry Tasmania,FMN,T32,,,Public Safety,VHF Mid Band,,Band Plan,79.525
T33,Public Works,Forestry Tasmania,FMN,T33,,,Public Safety,VHF Mid Band,,Band Plan,78.750
T38,Public Works,Forestry Tasmania,FMN,T38,,,Public Safety,VHF Mid Band,,Band Plan,78.0375
T39,Public Works,Forestry Tasmania,FMN,T39,,,Public Safety,VHF Mid Band,,Band Plan,76.950
T42,Public Works,Forestry Tasmania,FMN,T42,,,Public Safety,VHF Mid Band,,Band Plan,78.1625
T43,Public Works,Forestry Tasmania,FMN,T43,,,Public Safety,VHF Mid Band,,Band Plan,77.5375
LeslieValeLandsc,Business,General Statewide,FMN,LeslieValeLandsc,,,Business Group,General,,Construction,76.125
GradcoExcavation,Business,General Statewide,FMN,GradcoExcavation,,,Business Group,General,,Construction,76.430
Works EDI,Business,General Statewide,FMN,Works EDI,,,Business Group,General,,Construction,79.6875
BoralConstructio,Business,General Statewide,FMN,BoralConstructio,,,Business Group,General,,Construction,162.160
BoralConstructio,Business,General Statewide,FMN,BoralConstructio,,,Business Group,General,,Construction,162.220
BoralConstructio,Business,General Statewide,FMN,BoralConstructio,,,Business Group,General,,Construction,162.475
BoralConstructio,Business,General Statewide,FMN,BoralConstructio,,,Business Group,General,,Construction,162.500
BoralConstructio,Business,General Statewide,FMN,BoralConstructio,,,Business Group,General,,Construction,163.1375
HansonConstructi,Business,General Statewide,FMN,HansonConstructi,,,Business Group,General,,Construction,165.040
HansonConstructi,Business,General Statewide,FMN,HansonConstructi,,,Business Group,General,,Construction,166.270
HansonConstructi,Business,General Statewide,FMN,HansonConstructi,,,Business Group,General,,Construction,451.275
BoralConstructio,Business,General Statewide,FMN,BoralConstructio,,,Business Group,General,,Construction,463.000
HansonConstructi,Business,General Statewide,FMN,HansonConstructi,,,Business Group,General,,Construction,508.075
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,152.600
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,152.7125
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,152.850
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,152.9875
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,153.1375
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,161.0125
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,162.3375
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,162.6625
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,172.825
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,172.9125
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,172.9875
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,173.1125
AllegianceMetals,Business,Mines Tasmania,FMN,AllegianceMetals,,,Business Group,Allegiance Metals,,Mines and Resources Tasmania,173.200
Receive only,Other,Statewide,FM,Receive only (for diagnostic purposes),,,Public Safety,800 MHz Conventional,,Statewide,820.9875
Talk Around,Multi-Talk,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,865.4125
Talk-Around,Multi-Talk,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,865.9125
Talk-Around,Interop,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,866.4125
Talk-Around,Multi-Talk,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,866.9125
Talk around,Business,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,867.4125
Talk-Around,Business,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,867.9125
Talk-Around,Business,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,868.4125
Talk Around,Multi-Talk,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,868.9125
Talkaround,Business,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,869.4125
TalkAround,Interop,Statewide,FM,Talk-Around,M,,Public Safety,800 MHz Conventional,,Statewide,869.9125
RND HILL,Railroad,TasRail,FMN,Round Hill,BM,192.8 PL,Railroad,Train Control,,VHF,163.4125
F01,Fire Dispatch,Tasmania Fire Service,FMN,F1,,,Public Safety,VHF Mid Band,,Bandplan,78.8875
F02,Fire Dispatch,Tasmania Fire Service,FMN,F2,,,Public Safety,VHF Mid Band,,Bandplan,79.5625
F03,Fire Dispatch,Tasmania Fire Service,FMN,F3,,,Public Safety,VHF Mid Band,,Bandplan,79.6625
F04,Fire Dispatch,Tasmania Fire Service,FMN,F4,,,Public Safety,VHF Mid Band,,Bandplan,79.650
F05,Fire Dispatch,Tasmania Fire Service,FMN,F5,,,Public Safety,VHF Mid Band,,Bandplan,78.5625
F06,Fire Dispatch,Tasmania Fire Service,FMN,F6,,,Public Safety,VHF Mid Band,,Bandplan,79.600
F07,Fire Dispatch,Tasmania Fire Service,FMN,F7,,,Public Safety,VHF Mid Band,,Bandplan,79.6125
F08,Fire Dispatch,Tasmania Fire Service,FMN,F8,,,Public Safety,VHF Mid Band,,Bandplan,79.0375
F09,Fire Dispatch,Tasmania Fire Service,FMN,F9,,,Public Safety,VHF Mid Band,,Bandplan,78.0625
F10,Fire Dispatch,Tasmania Fire Service,FMN,F10,,,Public Safety,VHF Mid Band,,Bandplan,79.5625
F11,Fire Dispatch,Tasmania Fire Service,FMN,F11,,,Public Safety,VHF Mid Band,,Bandplan,78.525
F12,Fire Dispatch,Tasmania Fire Service,FMN,F12,,,Public Safety,VHF Mid Band,,Bandplan,79.6625
