category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Radio Rental Agencies,AA Radio Services,473.550,VKV866,RM,82.5 PL,AA Radio,AA Radio Services,FM,Business
Transport and Logistics,Courier & Delivery Services,150.900,VNF955,RM,162.2 PL,Secon Carrie,Secon Carriers,FM,Transportation
Transport and Logistics,Courier & Delivery Services,151.1625,VH3HKJ,RM,156.7 PL,Golden Messe,Golden Messenger,FM,Transportation
Transport and Logistics,Courier & Delivery Services,162.750,VLV988,RM,114.8 PL,Go-Express,Go-Express,FM,Transportation
Transport and Logistics,Courier & Delivery Services,463.100,VJ3GX,RM,71.9 PL,L Arthur,L Arthur,FM,Transportation
Transport and Logistics,Courier & Delivery Services,465.900,VMF254,RM,218.1 PL,MultigrpDist,Multigroup Distribution Services - (Star Track Express),FM,Transportation
Transport and Logistics,Courier & Delivery Services,467.700,VKF675,RM,71.9 PL,TollPriority,Toll Priority,FM,Transportation
Transport and Logistics,Courier & Delivery Services,467.800,VH3IXZ,RM,186.2 PL,WMB Victoria,WMB Victoria - (Z Transport Group),FM,Transportation
Transport and Logistics,Courier & Delivery Services,472.425,VH3FJM,RM,107.2 PL,GregorysTrns,Gregorys Transport,FM,Transportation
Transport and Logistics,Courier & Delivery Services,472.525,VJV881,RM,146.2 PL,TrnsptAdmSvc,Transport Administrative Services,FM,Transportation
Transport and Logistics,Courier & Delivery Services,472.550,VJV882,RM,162.2 PL,TrnsptAdmSvc,Transport Administrative Services,FM,Transportation
Transport and Logistics,Courier & Delivery Services,473.625,VKV885,RM,146.2 PL,TrnsptAdmSvc,Transport Administrative Services - (Freeway Transport Services),FM,Transportation
Transport and Logistics,Courier & Delivery Services,485.725,VH3NYG,RM,167.9 PL,Toll SPD,Toll SPD,FM,Transportation
Transport and Logistics,Courier & Delivery Services,491.725,VH3NHF,RM,88.5 PL,Ceva Logist,Ceva Logistics,FM,Transportation
Transport and Logistics,Courier & Delivery Services,491.950,VH3NAW,RM,103.5 PL,TNTAustralia,TNT Australia,FM,Transportation
Transport and Logistics,Courier & Delivery Services,492.200,VH3NAN,RM,173.8 PL,TNTAustralia,TNT Australia,FM,Transportation
Transport and Logistics,Courier & Delivery Services,492.350,VJ3BL,RM,127.3 PL,TNTAustralia,TNT Australia,FM,Transportation
Transport and Logistics,Courier & Delivery Services,493.375,VLV530,RM,146.2 PL,Allied Expr,Allied Express Transport,FM,Transportation
Transport and Logistics,Courier & Delivery Services,493.475,VKF696,RM,146.2 PL,Riteway Expr,Riteway Express,FM,Transportation
Transport and Logistics,Courier & Delivery Services,494.325,VLV530,RM,146.2 PL,Allied Expr,Allied Express Transport,FM,Transportation
Transport and Logistics,Courier & Delivery Services,494.825,VKV288,M,136.5 PL,PtMelbContai,Port Melbourne Containers,FM,Transportation
Transport and Logistics,Courier & Delivery Services,508.625,VH3NBN,RM,186.2 PL,IpecJetsroad,Ipec Jetsroad,FM,Transportation
Transport and Logistics,Courier & Delivery Services,509.500,VH3NZN,RM,131.8 PL,IpecJetsroad,Ipec Jetsroad,FM,Transportation
Unsorted Content,Metro Unsorted,151.075,VL3UK,RM,162.2 PL,Boroondara,City of Boroondara,FM,Public Works
Unsorted Content,Metro Unsorted,462.075,VNF968,RM,162.2 PL,NationTowing,Nationwide Towing & Transport,FM,Transportation
Unsorted Content,Metro Unsorted,463.875,VIV358,RM,131.8 PL,Mob Comm Sys,Mobile Communication Systems,FM,Business
Unsorted Content,Metro Unsorted,465.625,VMV990,RM,118.8 PL,Swinbrn Univ,Swinburne University of Technology,FM,Schools
Unsorted Content,Metro Unsorted,469.550,VMV413,M,241.8 PL,Grocon Const,Grocon Constructors,FM,Business
Unsorted Content,Metro Unsorted,487.125,VZ3RS,RM,107.2 PL,VicTrack,VicTrack,FM,Railroad
Unsorted Content,Metro Unsorted,487.375,VMV540,RM,114.8 PL,RoyalAutoClb,Royal Automobile Club of Victoria,FM,Transportation
Unsorted Content,Metro Unsorted,491.750,VH3NMA,B,114.8 PL,Ch7 Melbourn,Channel Seven Melbourne,FM,Media
Unsorted Content,Metro Unsorted,491.750,VH3NMA,F,114.8 PL,Ch7 Melbourn,Channel Seven Melbourne,FM,Media
Unsorted Content,Metro Unsorted,494.150,VH3OSZ,RM,186.2 PL,MSS Security,MSS Security,FM,Security
Unsorted Content,Metro Unsorted,507.275,VH3OHR,RM,114.8 PL,VicTrack,VicTrack,FM,Railroad
