category,group,frequency,license,type,tone,alpha tag,description,mode,tag
Broadcasting,Radio - International,151.450,AXN723,F,CSQ,VietnamRadio,Vietnamese Commercial Radio Station,FM,Media
Broadcasting,Radio - International,151.600,VJF738,F,CSQ,SinghamTrade,Singham Trade Services,FM,Media
Broadcasting,Radio - International,151.675,VMF404,F,CSQ,Aust Muslim,Australian Muslim Media,FM,Media
Broadcasting,Radio - International,152.050,VZV366,F,CSQ,VoiceCharity,Voice of Charity,FM,Media
Broadcasting,Radio - International,152.075,VNN562,F,CSQ,China Radio,China Radio Network,FM,Media
Broadcasting,Radio - International,152.300,VME783,F,CSQ,Aust Tamil,Australian Tamil Broadcasting Corporation,FM,Media
Broadcasting,Radio - International,152.350,VMF404,F,CSQ,Aust Muslim,Australian Muslim Media,FM,Media
Radio Rental Agencies,AA Radio Services,150.2125,VJF974,RM,167.9 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,150.450,VH3IMV,RM,103.5 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,150.475,VH3IMV,RM,192.8 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,151.275,VMV202,RM,250.3 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,465.350,VH3GUL,RM,118.8 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,465.450,VM3RM,RM,136.5 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,474.600,VH3GTT,RM,179.9 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,488.150,VH3NQD,RM,146.2 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,490.700,VMV643,RM,146.2 PL,AA Radio Ser,AA Radio Services,FM,Business
Radio Rental Agencies,AA Radio Services,493.325,VLV814,RM,110.9 PL,AA Radio Ser,AA Radio Services,FM,Business
Transport and Logistics,Courier & Delivery Services,78.575,VH3BGB,RM,146.2 PL,CouriersExpr,Couriers Express Services,FM,Transportation
Transport and Logistics,Courier & Delivery Services,151.025,VMF552,RM,167.9 PL,Go-Express,Go-Express,FM,Transportation
Transport and Logistics,Courier & Delivery Services,162.5375,VKV290,RM,162.2 PL,TNT,TNT Australia,FM,Transportation
Transport and Logistics,Courier & Delivery Services,163.800,VLV989,RM,162.2 PL,Golden Messn,Golden Messenger,FM,Transportation
Transport and Logistics,Courier & Delivery Services,464.175,VH3FIG,RM,103.5 PL,Jomest Pty,Transport Administrative Services - (Jomest Pty Ltd),FM,Transportation
Transport and Logistics,Courier & Delivery Services,465.325,VMF254,RM,218.1 PL,StarTrkExprs,Multigroup Distribution Services - (Star Track Express),FM,Transportation
Transport and Logistics,Courier & Delivery Services,466.900,VMF254,RM,218.1 PL,Star Track 2,Multigroup Distribution Services - (Star Track Express),FM,Transportation
Transport and Logistics,Courier & Delivery Services,473.525,VH3GDR,RM,162.2 PL,TransportAdm,Transport Administrative Services,FM,Transportation
Transport and Logistics,Courier & Delivery Services,490.850,VKF675,RM,74.4 PL,TollPriority,Toll Priority,FM,Transportation
Transport and Logistics,Courier & Delivery Services,491.600,VH3OBG,RM,156.7 PL,TNT Australa,TNT Australia,FM,Transportation
Transport and Logistics,Courier & Delivery Services,492.250,VH3NVY,RM,118.8 PL,TNT Australa,TNT Australia,FM,Transportation
Unsorted Content,Metro Unsorted,414.750,VLV236,RM,131.8 PL,Eastlink Ops,Eastlink Operations Centre,FM,Public Works
Unsorted Content,Metro Unsorted,462.525,VLF429,RM,186.2 PL,BilfngrBrger,Bilfinger Berger Services,FM,Business
Unsorted Content,Metro Unsorted,462.625,VKF431,RM,107.2 PL,Vic Roads,Vic Roads,FM,Public Works
Unsorted Content,Metro Unsorted,463.375,VJV591,RM,131.8 PL,Western Comm,Western Communications,FM,Business
Unsorted Content,Metro Unsorted,470.925,VLV800,RM,173.8 PL,Sattcom,Sattcom,FM,Business
Unsorted Content,Metro Unsorted,493.225,VH3FCC,RM,156.7 PL,Lofts Quarrs,Lofts Quarries,FM,Business
Unsorted Content,Metro Unsorted,493.650,VMF919,RM,141.3 PL,State Comms,Statewide Communications,FM,Business
Unsorted Content,Metro Unsorted,508.825,VJV764,RM,110.9 PL,MelbrnPathlg,Melbourne Pathology,FM,Hospital
