alpha tag,tag,entity,mode,description,type,tone,entity_type,group,license,category,frequency
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,120.000
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,122.400
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,126.800
Air Services,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,127.000
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,128.500
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,134.325
ATC,Aircraft,Air Services Australia,AM,Air Services Australia,,CSQ,Aircraft / Airport,Air Traffic Control (ATC),VH3GYA,Statewide Allocation,135.300
Mildura,EMS Dispatch,Ambulance Victoria,FM,Mildura / North West,BM,CSQ,Public Safety,North Western,VJV684,Current Allocation,165.350
Bendigo,EMS Dispatch,Ambulance Victoria,FM,Bendigo / North West,BM,110.9 PL,Public Safety,North Western,VZ3NW,Current Allocation,412.475
Mildura,EMS Dispatch,Ambulance Victoria,FM,Mildura / North West,BM,103.5 PL,Public Safety,North Western,VZ3NW,Current Allocation,415.425
VF 11,Emergency Ops,Australian Volunteer Coast Guard Association,FM,VF 11,M,CSQ,Public Safety,VF 11 - Albury / Lake Hume,,Current Allocation,154.575
VF 11,Emergency Ops,Australian Volunteer Coast Guard Association,FM,VF 11,M,CSQ,Public Safety,VF 11 - Albury / Lake Hume,,Current Allocation,161.675
1-REG-2A,Fire-Tac,Country Fire Authority,FM,-,M,103.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.100
2-REG-2B,Fire-Tac,Country Fire Authority,FM,-,M,103.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.1875
3-REG-2C,Fire-Tac,Country Fire Authority,FM,-,M,103.5 PL,Public Safety,VHF,VLF300,Current Allocation,161.0875
4-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Ceres,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,162.4625
5-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Pakenham,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,163.000
6-REG-4A,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.1125
7-REG-4B,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VLF300,Current Allocation,160.9875
8-REG-4C,Fire-Tac,Country Fire Authority,FM,-,M,107.2 PL,Public Safety,VHF,VLF300,Current Allocation,161.0875
9-IMC,Fire Dispatch,Country Fire Authority,FM,CFA IMC -Kinglake,BM,118.8 PL,Public Safety,VHF,VLF300,Current Allocation,165.125
